Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2018,145637,00177500,University of Illinois at Urbana-Champaign,IL,1,,1,NCAA,17413,14941,32354,7,Football,103,,,,103,0,24016,2473630,0,0,2473630,,,,,,58155936,,58155936,,,,58155936,0,58155936,23418953,,23418953,,,,23418953,0,23418953
2018,153658,00189200,University of Iowa,IA,1,,1,NCAA,10010,11546,21556,7,Football,124,,,,124,0,39503,4898331,0,0,4898331,,,,,,81037375,,81037375,,,,81037375,0,81037375,36838032,,36838032,,,,36838032,0,36838032
2018,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,14934,13408,28342,7,Football,114,,,,114,0,20395,2325080,0,0,2325080,,,,,,46592593,,46592593,,,,46592593,0,46592593,28507867,,28507867,,,,28507867,0,28507867
2018,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,14503,14581,29084,7,Football,140,,,,140,0,51111,7155520,0,0,7155520,,,,,,122270243,,122270243,,,,122270243,0,122270243,47430574,,47430574,,,,47430574,0,47430574
2018,174066,00396900,University of Minnesota-Twin Cities,MN,1,,1,NCAA,13569,15658,29227,7,Football,115,,,,115,0,58327,6707566,0,0,6707566,,,,,,63016508,,63016508,,,,63016508,0,63016508,32403693,,32403693,,,,32403693,0,32403693
2018,181464,00256500,University of Nebraska-Lincoln,NE,1,,1,NCAA,10207,9255,19462,7,Football,158,,,,158,0,32767,5177206,0,0,5177206,,,,,,94336296,,94336296,,,,94336296,0,94336296,34574999,,34574999,,,,34574999,0,34574999
2018,240444,00389500,University of Wisconsin-Madison,WI,1,,1,NCAA,13930,15012,28942,7,Football,115,,,,115,0,49568,5700270,0,0,5700270,,,,,,89944636,,89944636,,,,89944636,0,89944636,31714090,,31714090,,,,31714090,0,31714090
2017,151351,00180900,Indiana University-Bloomington,IN,1,,1,NCAA,16179,15934,32113,7,Football,125,,,,125,0,28545,3568142,0,0,3568142,,,,,,51856180,,51856180,,,,51856180,0,51856180,24374745,,24374745,,,,24374745,0,24374745
2017,171100,00229000,Michigan State University,MI,1,,1,NCAA,17314,17935,35249,7,Football,117,,,,117,0,49347,5773647,0,0,5773647,,,,,,77930837,,77930837,,,,77930837,0,77930837,33528479,,33528479,,,,33528479,0,33528479
2017,147767,00173900,Northwestern University,IL,1,,1,NCAA,4047,4120,8167,7,Football,115,,,,115,0,25446,2926279,0,0,2926279,,,,,,49703674,,49703674,,,,49703674,0,49703674,30031305,,30031305,,,,30031305,0,30031305
2017,204796,00309000,Ohio State University-Main Campus,OH,1,,1,NCAA,21626,20198,41824,7,Football,128,,,,128,0,92049,11782222,0,0,11782222,,,,,,110661057,,110661057,,,,110661057,0,110661057,46444134,,46444134,,,,46444134,0,46444134
2017,214777,00332900,Pennsylvania State University-Main Campus,PA,1,,1,NCAA,21053,18630,39683,7,Football,124,,,,124,0,78845,9776770,0,0,9776770,,,,,,100098956,,100098956,,,,100098956,0,100098956,45569892,,45569892,,,,45569892,0,45569892
2017,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,17529,12740,30269,7,Football,120,,,,120,0,33169,3980318,0,0,3980318,,,,,,25822409,,25822409,,,,25822409,0,25822409,27230929,,27230929,,,,27230929,0,27230929
2017,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,16844,16775,33619,7,Football,120,,,,120,0,52675,6321011,0,0,6321011,,,,,,25939804,,25939804,,,,25939804,0,25939804,25939804,,25939804,,,,25939804,0,25939804
2017,145637,00177500,University of Illinois at Urbana-Champaign,IL,1,,1,NCAA,17464,14746,32210,7,Football,108,,,,108,0,25046,2705000,0,0,2705000,,,,,,51295520,,51295520,,,,51295520,0,51295520,22217186,,22217186,,,,22217186,0,22217186
2017,153658,00189200,University of Iowa,IA,1,,1,NCAA,9899,11180,21079,7,Football,123,,,,123,0,36266,4460757,0,0,4460757,,,,,,75963196,,75963196,,,,75963196,0,75963196,33092807,,33092807,,,,33092807,0,33092807
2017,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,14594,12944,27538,7,Football,121,,,,121,0,21551,2607695,0,0,2607695,,,,,,34572475,,34572475,,,,34572475,0,34572475,19881239,,19881239,,,,19881239,0,19881239
2017,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,14205,14314,28519,7,Football,135,,,,135,0,56196,7586460,0,0,7586460,,,,,,124928493,,124928493,,,,124928493,0,124928493,43453382,,43453382,,,,43453382,0,43453382
2017,174066,00396900,University of Minnesota-Twin Cities,MN,1,,1,NCAA,13884,15428,29312,7,Football,113,,,,113,0,54592,6168861,0,0,6168861,,,,,,61561973,,61561973,,,,61561973,0,61561973,27754757,,27754757,,,,27754757,0,27754757
2017,181464,00256500,University of Nebraska-Lincoln,NE,1,,1,NCAA,10175,9359,19534,7,Football,128,,,,128,0,37082,4746458,0,0,4746458,,,,,,92506833,,92506833,,,,92506833,0,92506833,46116924,,46116924,,,,46116924,0,46116924
2017,240444,00389500,University of Wisconsin-Madison,WI,1,,1,NCAA,13812,14747,28559,7,Football,115,,,,115,0,52160,5998401,0,0,5998401,,,,,,82423665,,82423665,,,,82423665,0,82423665,30153256,,30153256,,,,30153256,0,30153256
