year,team,games,win,loss,win_rate,surveyyear,footballteam,state,maleundergraduates,femaleundergraduates,totalundergraduates,participantsmenteam,operatingexpensesparticipantmenteam,operatingexpensesteammenteam,totaloperatingexpensesmenwomenteam,revenuesmenteam,expensesmenteam
2013,University of Maryland-College Park,0,0,0,0,2013,University of Maryland-College Park,MD,12891,11509,24400,110,17181,1889922,1889922,21716970,15398021
2013,Rutgers University-New Brunswick,0,0,0,0,2013,Rutgers University-New Brunswick,NJ,15908,15722,31630,115,56493,6496644,6496644,20812200,19218208
2013,University of Illinois at Urbana-Champaign,12,4,8,0.333,2013,University of Illinois at Urbana-Champaign,IL,17447,13682,31129,120,13609,1633106,1633106,30323995,16559019
2013,Indiana University-Bloomington,12,5,7,0.417,2013,Indiana University-Bloomington,IN,15352,15558,30910,136,18018,2450409,2450409,26237689,17652439
2013,University of Iowa,13,8,5,0.615,2013,University of Iowa,IA,9289,10012,19301,129,37396,4824119,4824119,53624529,24134459
2013,University of Michigan-Ann Arbor,13,7,6,0.538,2013,University of Michigan-Ann Arbor,MI,13814,13414,27228,108,60678,6553230,6553230,91383749,26755732
2013,Michigan State University,14,13,1,0.929,2013,Michigan State University,MI,17111,17465,34576,116,53824,6243567,6243567,52793124,26678123
2013,University of Minnesota-Twin Cities,13,8,5,0.615,2013,University of Minnesota-Twin Cities,MN,13616,14250,27866,132,48530,6405974,6405974,39820826,27756655
2013,University of Nebraska-Lincoln,13,9,4,0.692,2013,University of Nebraska-Lincoln,NE,9697,8405,18102,141,24939,3516391,3516391,60164128,23844466
2013,Northwestern University,12,5,7,0.417,2013,Northwestern University,IL,4146,4312,8458,106,25150,2665934,2665934,31483008,22642960
2013,Ohio State University-Main Campus,14,12,2,0.857,2013,Ohio State University-Main Campus,OH,20920,18957,39877,111,63885,7091261,7091261,65773860,23381516
2013,Pennsylvania State University-Main Campus,12,7,5,0.583,2013,Pennsylvania State University-Main Campus,PA,20614,17929,38543,111,55167,6123518,6123518,68018381,31488036
